date,amount,index
2008/1/1,69028,1
2008/1/2,70410,2
2008/1/3,72254,3
2008/1/4,79576,4
2008/1/5,82950,5
2008/1/6,79664,6
2008/1/7,95284,7
2008/1/8,94980,8
2008/1/9,94899,9
2008/1/10,96501,10
2008/1/11,96811,11
2008/1/12,93524,12
2008/1/13,87627,13
2008/1/14,94656,14
2008/1/15,102328,15
2008/1/16,100723,16
2008/1/17,103623,17
2008/1/18,107030,18
2008/1/19,97419,19
2008/1/20,90095,20
2008/1/21,103722,21
2008/1/22,104962,22
2008/1/23,109861,23
2008/1/24,104276,24
2008/1/25,105717,25
2008/1/26,97475,26
2008/1/27,90041,27
2008/1/28,103912,28
2008/1/29,105936,29
2008/1/30,99333,30
2008/1/31,100950,31
2008/2/1,101748,32
2008/2/2,95150,33
2008/2/3,95517,34
2008/2/4,101995,35
2008/2/5,102419,36
2008/2/6,108206,37
2008/2/7,103767,38
2008/2/8,103265,39
2008/2/9,100785,40
2008/2/10,87013,41
2008/2/11,89933,42
2008/2/12,102427,43
2008/2/13,105122,44
2008/2/14,103760,45
2008/2/15,101311,46
2008/2/16,94406,47
2008/2/17,89382,48
2008/2/18,100815,49
2008/2/19,102116,50
2008/2/20,99096,51
2008/2/21,97122,52
2008/2/22,94582,53
2008/2/23,87752,54
2008/2/24,88038,55
2008/2/25,99574,56
2008/2/26,99216,57
2008/2/27,98334,58
2008/2/28,98270,59
2008/2/29,94813,60
2008/3/1,86382,61
2008/3/2,81195,62
2008/3/3,92168,63
2008/3/4,94334,64
2008/3/5,97312,65
2008/3/6,96781,66
2008/3/7,95133,67
2008/3/8,85669,68
2008/3/9,78474,69
2008/3/10,93109,70
2008/3/11,89197,71
2008/3/12,90353,72
2008/3/13,89940,73
2008/3/14,90489,74
2008/3/15,78167,75
2008/3/16,72066,76
2008/3/17,83197,77
2008/3/18,84897,78
2008/3/19,87950,79
2008/3/20,87886,80
2008/3/21,90376,81
2008/3/22,79448,82
2008/3/23,72819,83
