DATE,TIME,amount
2008/1/1,0:00,3032
2008/1/1,1:00,2826
2008/1/1,2:00,2640
2008/1/1,3:00,2509
2008/1/1,4:00,2433
2008/1/1,5:00,2436
2008/1/1,6:00,2531
2008/1/1,7:00,2703
2008/1/1,8:00,2875
2008/1/1,9:00,2893
2008/1/1,10:00,2818
2008/1/1,11:00,2734
2008/1/1,12:00,2690
2008/1/1,13:00,2662
2008/1/1,14:00,2669
2008/1/1,15:00,2739
2008/1/1,16:00,2970
2008/1/1,17:00,3293
2008/1/1,18:00,3358
2008/1/1,19:00,3353
2008/1/1,20:00,3346
2008/1/1,21:00,3300
2008/1/1,22:00,3178
2008/1/1,23:00,3040
2008/1/2,0:00,2798
2008/1/2,1:00,2627
2008/1/2,2:00,2499
2008/1/2,3:00,2397
2008/1/2,4:00,2349
2008/1/2,5:00,2396
2008/1/2,6:00,2554
2008/1/2,7:00,2796
2008/1/2,8:00,3016
2008/1/2,9:00,3075
2008/1/2,10:00,3019
2008/1/2,11:00,2919
2008/1/2,12:00,2850
2008/1/2,13:00,2799
2008/1/2,14:00,2775
2008/1/2,15:00,2823
2008/1/2,16:00,3076
2008/1/2,17:00,3420
2008/1/2,18:00,3479
2008/1/2,19:00,3472
2008/1/2,20:00,3447
2008/1/2,21:00,3395
2008/1/2,22:00,3286
2008/1/2,23:00,3143
2008/1/3,0:00,2891
2008/1/3,1:00,2683
2008/1/3,2:00,2550
2008/1/3,3:00,2442
2008/1/3,4:00,2392
2008/1/3,5:00,2420
2008/1/3,6:00,2575
2008/1/3,7:00,2838
2008/1/3,8:00,3080
2008/1/3,9:00,3189
2008/1/3,10:00,3162
2008/1/3,11:00,3049
2008/1/3,12:00,2965
2008/1/3,13:00,2907
2008/1/3,14:00,2873
2008/1/3,15:00,2917
2008/1/3,16:00,3183
2008/1/3,17:00,3538
2008/1/3,18:00,3593
2008/1/3,19:00,3577
2008/1/3,20:00,3547
2008/1/3,21:00,3451
2008/1/3,22:00,3311
2008/1/3,23:00,3121
2008/1/4,0:00,2861
2008/1/4,1:00,2679
2008/1/4,2:00,2544
2008/1/4,3:00,2452
2008/1/4,4:00,2415
2008/1/4,5:00,2524
2008/1/4,6:00,2827
2008/1/4,7:00,3208
2008/1/4,8:00,3562
2008/1/4,9:00,3658
2008/1/4,10:00,3602
2008/1/4,11:00,3511
2008/1/4,12:00,3407
2008/1/4,13:00,3380
2008/1/4,14:00,3349
2008/1/4,15:00,3394
2008/1/4,16:00,3672
2008/1/4,17:00,4007
2008/1/4,18:00,4037
2008/1/4,19:00,3985
2008/1/4,20:00,3904
2008/1/4,21:00,3737
2008/1/4,22:00,3526
2008/1/4,23:00,3335
2008/1/5,0:00,3047
2008/1/5,1:00,2846
2008/1/5,2:00,2689
2008/1/5,3:00,2570
2008/1/5,4:00,2526
2008/1/5,5:00,2584
2008/1/5,6:00,2805
2008/1/5,7:00,3155
2008/1/5,8:00,3620
2008/1/5,9:00,3934
2008/1/5,10:00,3999
2008/1/5,11:00,3871
2008/1/5,12:00,3703
2008/1/5,13:00,3595
2008/1/5,14:00,3522
2008/1/5,15:00,3520
2008/1/5,16:00,3762
2008/1/5,17:00,4090
2008/1/5,18:00,4120
2008/1/5,19:00,4073
2008/1/5,20:00,3999
2008/1/5,21:00,3834
2008/1/5,22:00,3633
2008/1/5,23:00,3453
2008/1/6,0:00,3169
2008/1/6,1:00,2969
2008/1/6,2:00,2805
2008/1/6,3:00,2693
2008/1/6,4:00,2626
2008/1/6,5:00,2650
2008/1/6,6:00,2833
2008/1/6,7:00,3106
2008/1/6,8:00,3415
2008/1/6,9:00,3566
2008/1/6,10:00,3522
2008/1/6,11:00,3401
2008/1/6,12:00,3312
2008/1/6,13:00,3266
2008/1/6,14:00,3209
2008/1/6,15:00,3233
2008/1/6,16:00,3484
2008/1/6,17:00,3911
2008/1/6,18:00,4000
2008/1/6,19:00,3970
2008/1/6,20:00,3899
2008/1/6,21:00,3761
2008/1/6,22:00,3550
2008/1/6,23:00,3314
2008/1/7,0:00,3015
2008/1/7,1:00,2839
2008/1/7,2:00,2703
2008/1/7,3:00,2629
2008/1/7,4:00,2630
2008/1/7,5:00,2825
2008/1/7,6:00,3309
2008/1/7,7:00,3840
2008/1/7,8:00,4325
2008/1/7,9:00,4570
2008/1/7,10:00,4571
2008/1/7,11:00,4607
2008/1/7,12:00,4409
2008/1/7,13:00,4602
2008/1/7,14:00,4618
2008/1/7,15:00,4634
2008/1/7,16:00,4825
2008/1/7,17:00,4843
2008/1/7,18:00,4714
2008/1/7,19:00,4535
2008/1/7,20:00,4344
2008/1/7,21:00,4159
2008/1/7,22:00,4017
2008/1/7,23:00,3721
2008/1/8,0:00,3355
2008/1/8,1:00,3138
2008/1/8,2:00,3005
2008/1/8,3:00,2913
2008/1/8,4:00,2905
2008/1/8,5:00,3090
2008/1/8,6:00,3600
2008/1/8,7:00,4068
2008/1/8,8:00,4443
2008/1/8,9:00,4601
2008/1/8,10:00,4516
2008/1/8,11:00,4399
2008/1/8,12:00,4077
2008/1/8,13:00,4221
2008/1/8,14:00,4196
2008/1/8,15:00,4190
2008/1/8,16:00,4431
2008/1/8,17:00,4690
2008/1/8,18:00,4641
2008/1/8,19:00,4467
2008/1/8,20:00,4308
2008/1/8,21:00,4096
2008/1/8,22:00,3960
2008/1/8,23:00,3670
2008/1/9,0:00,3339
2008/1/9,1:00,3135
2008/1/9,2:00,2987
2008/1/9,3:00,2884
2008/1/9,4:00,2874
2008/1/9,5:00,3034
2008/1/9,6:00,3486
2008/1/9,7:00,3972
2008/1/9,8:00,4399
2008/1/9,9:00,4607
2008/1/9,10:00,4570
2008/1/9,11:00,4474
2008/1/9,12:00,4148
2008/1/9,13:00,4266
2008/1/9,14:00,4233
2008/1/9,15:00,4215
2008/1/9,16:00,4455
2008/1/9,17:00,4693
2008/1/9,18:00,4617
2008/1/9,19:00,4453
2008/1/9,20:00,4289
2008/1/9,21:00,4088
2008/1/9,22:00,3972
2008/1/9,23:00,3709
2008/1/10,0:00,3383
2008/1/10,1:00,3186
2008/1/10,2:00,3042
2008/1/10,3:00,2957
2008/1/10,4:00,2951
2008/1/10,5:00,3126
2008/1/10,6:00,3620
2008/1/10,7:00,4077
2008/1/10,8:00,4450
2008/1/10,9:00,4622
2008/1/10,10:00,4556
2008/1/10,11:00,4449
2008/1/10,12:00,4134
2008/1/10,13:00,4288
2008/1/10,14:00,4279
2008/1/10,15:00,4285
2008/1/10,16:00,4545
2008/1/10,17:00,4796
2008/1/10,18:00,4742
2008/1/10,19:00,4571
2008/1/10,20:00,4392
2008/1/10,21:00,4189
2008/1/10,22:00,4067
2008/1/10,23:00,3794
2008/1/11,0:00,3453
2008/1/11,1:00,3235
2008/1/11,2:00,3095
2008/1/11,3:00,2997
2008/1/11,4:00,2989
2008/1/11,5:00,3166
2008/1/11,6:00,3665
2008/1/11,7:00,4135
2008/1/11,8:00,4531
2008/1/11,9:00,4692
2008/1/11,10:00,4606
2008/1/11,11:00,4490
2008/1/11,12:00,4167
2008/1/11,13:00,4325
2008/1/11,14:00,4344
2008/1/11,15:00,4398
2008/1/11,16:00,4664
2008/1/11,17:00,4777
2008/1/11,18:00,4669
2008/1/11,19:00,4467
2008/1/11,20:00,4264
2008/1/11,21:00,4054
2008/1/11,22:00,3933
2008/1/11,23:00,3695
2008/1/12,0:00,3383
2008/1/12,1:00,3193
2008/1/12,2:00,3039
2008/1/12,3:00,2907
2008/1/12,4:00,2857
2008/1/12,5:00,2906
2008/1/12,6:00,3125
2008/1/12,7:00,3481
2008/1/12,8:00,3961
2008/1/12,9:00,4318
2008/1/12,10:00,4450
2008/1/12,11:00,4473
2008/1/12,12:00,4329
2008/1/12,13:00,4424
2008/1/12,14:00,4431
2008/1/12,15:00,4420
2008/1/12,16:00,4539
2008/1/12,17:00,4586
2008/1/12,18:00,4511
2008/1/12,19:00,4389
2008/1/12,20:00,4240
2008/1/12,21:00,4037
2008/1/12,22:00,3873
2008/1/12,23:00,3652
2008/1/13,0:00,3353
2008/1/13,1:00,3144
2008/1/13,2:00,2989
2008/1/13,3:00,2869
2008/1/13,4:00,2818
2008/1/13,5:00,2853
2008/1/13,6:00,3025
2008/1/13,7:00,3289
2008/1/13,8:00,3625
2008/1/13,9:00,3877
2008/1/13,10:00,3936
2008/1/13,11:00,3872
2008/1/13,12:00,3792
2008/1/13,13:00,3710
2008/1/13,14:00,3660
2008/1/13,15:00,3676
2008/1/13,16:00,3896
2008/1/13,17:00,4323
2008/1/13,18:00,4409
2008/1/13,19:00,4376
2008/1/13,20:00,4304
2008/1/13,21:00,4172
2008/1/13,22:00,3951
2008/1/13,23:00,3708
2008/1/14,0:00,3397
2008/1/14,1:00,3185
2008/1/14,2:00,3009
2008/1/14,3:00,2875
2008/1/14,4:00,2851
2008/1/14,5:00,2931
2008/1/14,6:00,3180
2008/1/14,7:00,3583
2008/1/14,8:00,4073
2008/1/14,9:00,4378
2008/1/14,10:00,4442
2008/1/14,11:00,4374
2008/1/14,12:00,4209
2008/1/14,13:00,4247
2008/1/14,14:00,4240
2008/1/14,15:00,4256
2008/1/14,16:00,4483
2008/1/14,17:00,4756
2008/1/14,18:00,4742
2008/1/14,19:00,4655
2008/1/14,20:00,4537
2008/1/14,21:00,4351
2008/1/14,22:00,4098
2008/1/14,23:00,3804
2008/1/15,0:00,3453
2008/1/15,1:00,3241
2008/1/15,2:00,3094
2008/1/15,3:00,3001
2008/1/15,4:00,3000
2008/1/15,5:00,3214
2008/1/15,6:00,3747
2008/1/15,7:00,4300
2008/1/15,8:00,4764
2008/1/15,9:00,5006
2008/1/15,10:00,4960
2008/1/15,11:00,4854
2008/1/15,12:00,4489
2008/1/15,13:00,4608
2008/1/15,14:00,4577
2008/1/15,15:00,4580
2008/1/15,16:00,4828
2008/1/15,17:00,5135
2008/1/15,18:00,5095
2008/1/15,19:00,4913
2008/1/15,20:00,4721
2008/1/15,21:00,4488
2008/1/15,22:00,4296
2008/1/15,23:00,3964
2008/1/16,0:00,3567
2008/1/16,1:00,3335
2008/1/16,2:00,3169
2008/1/16,3:00,3055
2008/1/16,4:00,3054
2008/1/16,5:00,3247
2008/1/16,6:00,3760
2008/1/16,7:00,4271
2008/1/16,8:00,4697
2008/1/16,9:00,4865
2008/1/16,10:00,4798
2008/1/16,11:00,4680
2008/1/16,12:00,4321
2008/1/16,13:00,4465
2008/1/16,14:00,4451
2008/1/16,15:00,4465
2008/1/16,16:00,4708
2008/1/16,17:00,4995
2008/1/16,18:00,4954
2008/1/16,19:00,4782
2008/1/16,20:00,4600
2008/1/16,21:00,4378
2008/1/16,22:00,4205
2008/1/16,23:00,3901
2008/1/17,0:00,3543
2008/1/17,1:00,3312
2008/1/17,2:00,3169
2008/1/17,3:00,3074
2008/1/17,4:00,3073
2008/1/17,5:00,3259
2008/1/17,6:00,3793
2008/1/17,7:00,4320
2008/1/17,8:00,4760
2008/1/17,9:00,4946
2008/1/17,10:00,4860
2008/1/17,11:00,4750
2008/1/17,12:00,4439
2008/1/17,13:00,4611
2008/1/17,14:00,4612
2008/1/17,15:00,4652
2008/1/17,16:00,4926
2008/1/17,17:00,5277
2008/1/17,18:00,5233
2008/1/17,19:00,5034
2008/1/17,20:00,4840
2008/1/17,21:00,4606
2008/1/17,22:00,4426
2008/1/17,23:00,4108
2008/1/18,0:00,3704
2008/1/18,1:00,3456
2008/1/18,2:00,3276
2008/1/18,3:00,3167
2008/1/18,4:00,3151
2008/1/18,5:00,3352
2008/1/18,6:00,3875
2008/1/18,7:00,4423
2008/1/18,8:00,4907
2008/1/18,9:00,5193
2008/1/18,10:00,5183
2008/1/18,11:00,5108
2008/1/18,12:00,4805
2008/1/18,13:00,4981
2008/1/18,14:00,4942
2008/1/18,15:00,4887
2008/1/18,16:00,5027
2008/1/18,17:00,5278
2008/1/18,18:00,5208
2008/1/18,19:00,5015
2008/1/18,20:00,4831
2008/1/18,21:00,4619
2008/1/18,22:00,4461
2008/1/18,23:00,4181
2008/1/19,0:00,3814
2008/1/19,1:00,3577
2008/1/19,2:00,3371
2008/1/19,3:00,3224
2008/1/19,4:00,3157
2008/1/19,5:00,3248
2008/1/19,6:00,3536
2008/1/19,7:00,3932
2008/1/19,8:00,4385
