index,date,temperature,precipitation,humidity,location
1,2010/1/1,1.5,0,66,Kumamoto
2,2010/1/2,5.3,0,77,Kumamoto
3,2010/1/3,6.5,0,59,Kumamoto
4,2010/1/4,6,0.5,66,Kumamoto
5,2010/1/5,4.7,0,60,Kumamoto
6,2010/1/6,3.7,0,56,Kumamoto
7,2010/1/7,3.7,0,58,Kumamoto
8,2010/1/8,3.3,0,65,Kumamoto
9,2010/1/9,4.8,0,66,Kumamoto
10,2010/1/10,7.9,0,67,Kumamoto
11,2010/1/11,7.4,0,76,Kumamoto
12,2010/1/12,5.4,0,63,Kumamoto
13,2010/1/13,0.4,3,73,Kumamoto
14,2010/1/14,2,0,68,Kumamoto
15,2010/1/15,3.9,0,82,Kumamoto
16,2010/1/16,4.1,0,72,Kumamoto
17,2010/1/17,3.8,0,70,Kumamoto
18,2010/1/18,5.4,0,69,Kumamoto
19,2010/1/19,7.4,0,67,Kumamoto
20,2010/1/20,12.9,14,76,Kumamoto
21,2010/1/21,13,2,81,Kumamoto
22,2010/1/22,6.9,0,70,Kumamoto
23,2010/1/23,4.4,0,63,Kumamoto
24,2010/1/24,4.5,0,70,Kumamoto
25,2010/1/25,5.2,0.5,85,Kumamoto
26,2010/1/26,4.2,0,69,Kumamoto
27,2010/1/27,7.4,1,64,Kumamoto
28,2010/1/28,11.7,23.5,75,Kumamoto
29,2010/1/29,6.5,0,69,Kumamoto
30,2010/1/30,6.6,1.5,67,Kumamoto
31,2010/1/31,8.7,1.5,88,Kumamoto
32,2010/2/1,8.5,33,90,Kumamoto
33,2010/2/2,6.2,0,67,Kumamoto
34,2010/2/3,5.1,0,49,Kumamoto
35,2010/2/4,3.1,0,58,Kumamoto
36,2010/2/5,3.5,0,62,Kumamoto
37,2010/2/6,3.9,0,57,Kumamoto
38,2010/2/7,6,0,49,Kumamoto
39,2010/2/8,13.4,0,59,Kumamoto
40,2010/2/9,16.3,51,86,Kumamoto
41,2010/2/10,17.5,47,92,Kumamoto
42,2010/2/11,13.7,19.5,91,Kumamoto
43,2010/2/12,8.5,0.5,66,Kumamoto
44,2010/2/13,6.1,0,71,Kumamoto
45,2010/2/14,5.2,3.5,76,Kumamoto
46,2010/2/15,8.3,3.5,79,Kumamoto
47,2010/2/16,7,0,64,Kumamoto
48,2010/2/17,6.9,0,56,Kumamoto
49,2010/2/18,5.4,0,60,Kumamoto
50,2010/2/19,5.5,0,51,Kumamoto
51,2010/2/20,6.3,0,57,Kumamoto
52,2010/2/21,7.5,0,60,Kumamoto
53,2010/2/22,11.7,0,61,Kumamoto
54,2010/2/23,14.4,0,65,Kumamoto
55,2010/2/24,15.9,0,64,Kumamoto
56,2010/2/25,17.2,1,69,Kumamoto
57,2010/2/26,16,24.5,92,Kumamoto
58,2010/2/27,13.7,8,81,Kumamoto
59,2010/2/28,13.7,0.5,70,Kumamoto
60,2010/3/1,13.6,13.5,88,Kumamoto
61,2010/3/2,12.7,0,79,Kumamoto
62,2010/3/3,11.2,0,68,Kumamoto
63,2010/3/4,13.8,20,87,Kumamoto
64,2010/3/5,15.5,7,81,Kumamoto
65,2010/3/6,13.6,18,92,Kumamoto
66,2010/3/7,10.6,3,78,Kumamoto
67,2010/3/8,9.6,1.5,68,Kumamoto
68,2010/3/9,7,27,83,Kumamoto
69,2010/3/10,3.9,3.5,67,Kumamoto
70,2010/3/11,6.4,0,64,Kumamoto
71,2010/3/12,12.3,0,61,Kumamoto
72,2010/3/13,16.1,4.5,78,Kumamoto
73,2010/3/14,17.6,5.5,77,Kumamoto
74,2010/3/15,16.9,13,80,Kumamoto
75,2010/3/16,10.4,0,57,Kumamoto
76,2010/3/17,8.2,0,57,Kumamoto
77,2010/3/18,9.3,0,65,Kumamoto
78,2010/3/19,10.3,0,61,Kumamoto
79,2010/3/20,17.5,12.5,74,Kumamoto
80,2010/3/21,11.5,0,42,Kumamoto
81,2010/3/22,10.9,0,56,Kumamoto
82,2010/3/23,12.8,12,85,Kumamoto
83,2010/3/24,11.2,15.5,89,Kumamoto
84,2010/3/25,9.4,15,78,Kumamoto
85,2010/3/26,7.2,1,49,Kumamoto
86,2010/3/27,8,0,53,Kumamoto
87,2010/3/28,10.9,0,58,Kumamoto
88,2010/3/29,9.7,0,56,Kumamoto
89,2010/3/30,9.9,0,43,Kumamoto
90,2010/3/31,13.5,4,68,Kumamoto
91,2010/4/1,17.8,30.5,83,Kumamoto
92,2010/4/2,13.1,4.5,64,Kumamoto
93,2010/4/3,10.8,0,57,Kumamoto
94,2010/4/4,13.5,0,63,Kumamoto
95,2010/4/5,18.2,0,60,Kumamoto
96,2010/4/6,18.9,0,67,Kumamoto
97,2010/4/7,13.5,0,55,Kumamoto
98,2010/4/8,12.7,0,43,Kumamoto
99,2010/4/9,15.5,0,61,Kumamoto
100,2010/4/10,19.8,0,66,Kumamoto
101,2010/4/11,20.6,1.5,72,Kumamoto
102,2010/4/12,15.9,35.5,91,Kumamoto
103,2010/4/13,13.5,0,72,Kumamoto
104,2010/4/14,9.3,1,56,Kumamoto
105,2010/4/15,9.1,0.5,67,Kumamoto
106,2010/4/16,11,0,62,Kumamoto
107,2010/4/17,11.7,0,61,Kumamoto
108,2010/4/18,14.9,0,52,Kumamoto
109,2010/4/19,15.4,33,75,Kumamoto
110,2010/4/20,17.5,16.5,91,Kumamoto
111,2010/4/21,18.2,4.5,84,Kumamoto
112,2010/4/22,17.2,56.5,89,Kumamoto
113,2010/4/23,13.7,0.5,69,Kumamoto
114,2010/4/24,13.6,0,58,Kumamoto
115,2010/4/25,14.6,0,42,Kumamoto
116,2010/4/26,16.1,0.5,55,Kumamoto
117,2010/4/27,16.2,25,72,Kumamoto
118,2010/4/28,14.6,15.5,59,Kumamoto
119,2010/4/29,13.5,0,48,Kumamoto
120,2010/4/30,14.4,0,62,Kumamoto
121,2010/5/1,15.8,0,60,Kumamoto
122,2010/5/2,17.9,0,62,Kumamoto
123,2010/5/3,21.7,0,62,Kumamoto
124,2010/5/4,22.2,0,62,Kumamoto
125,2010/5/5,21.9,0,61,Kumamoto
126,2010/5/6,21.2,2.5,79,Kumamoto
127,2010/5/7,21.4,1,58,Kumamoto
128,2010/5/8,20,0,43,Kumamoto
129,2010/5/9,21.6,0,51,Kumamoto
130,2010/5/10,17.8,19,85,Kumamoto
131,2010/5/11,18.9,0.5,74,Kumamoto
132,2010/5/12,17.4,0,63,Kumamoto
133,2010/5/13,17.6,0,53,Kumamoto
134,2010/5/14,18.3,0,47,Kumamoto
135,2010/5/15,18.6,0,51,Kumamoto
136,2010/5/16,20.5,0,55,Kumamoto
137,2010/5/17,22.8,0,53,Kumamoto
138,2010/5/18,21.7,19.5,70,Kumamoto
139,2010/5/19,20.8,32,93,Kumamoto
140,2010/5/20,20.3,1,85,Kumamoto
141,2010/5/21,21.2,0,60,Kumamoto
142,2010/5/22,22.4,26,65,Kumamoto
143,2010/5/23,21.4,172.5,93,Kumamoto
144,2010/5/24,19.4,6,79,Kumamoto
145,2010/5/25,19.8,4.5,71,Kumamoto
146,2010/5/26,18.3,0,68,Kumamoto
147,2010/5/27,17.4,0,63,Kumamoto
148,2010/5/28,17.6,0,61,Kumamoto
149,2010/5/29,21.3,0,58,Kumamoto
150,2010/5/30,21.3,0,56,Kumamoto
151,2010/5/31,20.9,0,62,Kumamoto
152,2010/6/1,21.1,0,62,Kumamoto
153,2010/6/2,21.1,0,64,Kumamoto
