ダウンロードした時刻：2015/01/03 18:30:15

,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均湿度(％),平均湿度(％),平均湿度(％),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2010/1/1,1.5,8,1,0.0,0,8,1,66,8,1,4.8,8,1,0,1,8,1,33,8,1
2010/1/2,5.3,8,1,0.0,0,8,1,77,8,1,6.3,8,1,0,1,8,1,35,8,1
2010/1/3,6.5,8,1,0.0,0,8,1,59,8,1,5.7,8,1,0,1,8,1,41,8,1
2010/1/4,6.0,8,1,0.5,0,8,1,66,8,1,6.5,8,1,0,1,8,1,41,8,1
2010/1/5,4.7,8,1,0.0,0,8,1,60,8,1,7.3,8,1,2.5,0,8,1,49,8,1
2010/1/6,3.7,8,1,0.0,0,8,1,56,8,1,6.5,8,1,0,1,8,1,30,8,1
2010/1/7,3.7,8,1,0.0,0,8,1,58,8,1,7.3,8,1,0,1,8,1,35,8,1
2010/1/8,3.3,8,1,0,1,8,1,65,8,1,7.6,8,1,0,1,8,1,39,8,1
2010/1/9,4.8,8,1,0,1,8,1,66,8,1,7.2,8,1,0,1,8,1,34,8,1
2010/1/10,7.9,8,1,0.0,0,8,1,67,8,1,7.0,8,1,0,1,8,1,36,8,1
2010/1/11,7.4,8,1,0.0,0,8,1,76,8,1,5.3,8,1,0.0,0,8,1,49,8,1
2010/1/12,5.4,8,1,0.0,0,8,1,63,8,1,3.9,8,1,6.5,0,8,1,68,8,1
2010/1/13,0.4,8,1,3.0,0,8,1,73,8,1,5.3,8,1,0.0,0,8,1,44,8,1
2010/1/14,2.0,5,1,0.0,0,8,1,68,5,1,3.8,8,1,0,1,8,1,31,8,1
2010/1/15,3.9,8,1,0.0,0,8,1,82,8,1,4.6,8,1,0,1,8,1,37,8,1
2010/1/16,4.1,8,1,0,1,8,1,72,8,1,3.8,8,1,0,1,8,1,31,8,1
2010/1/17,3.8,8,1,0,1,8,1,70,8,1,4.9,8,1,0,1,8,1,29,8,1
2010/1/18,5.4,8,1,0,1,8,1,69,8,1,5.3,8,1,0,1,8,1,43,8,1
2010/1/19,7.4,8,1,0,1,8,1,67,8,1,8.4,8,1,0,1,8,1,51,8,1
2010/1/20,12.9,8,1,14.0,0,8,1,76,8,1,11.6,8,1,0,1,8,1,47,8,1
2010/1/21,13.0,8,1,2.0,0,8,1,81,8,1,13.0,8,1,0,1,8,1,51,8,1
2010/1/22,6.9,8,1,0,1,8,1,70,8,1,7.0,8,1,0,1,8,1,27,8,1
2010/1/23,4.4,8,1,0.0,0,8,1,63,8,1,6.3,8,1,0,1,8,1,37,8,1
2010/1/24,4.5,8,1,0,1,8,1,70,8,1,7.0,8,1,0,1,8,1,42,8,1
2010/1/25,5.2,8,1,0.5,0,8,1,85,8,1,8.2,8,1,0,1,8,1,42,8,1
2010/1/26,4.2,8,1,0,1,8,1,69,8,1,6.7,8,1,0,1,8,1,30,8,1
2010/1/27,7.4,8,1,1.0,0,8,1,64,8,1,7.2,8,1,0,1,8,1,41,8,1
2010/1/28,11.7,8,1,23.5,0,8,1,75,8,1,12.2,8,1,0.0,0,8,1,54,8,1
2010/1/29,6.5,8,1,0,1,8,1,69,8,1,8.9,8,1,0.0,0,8,1,55,8,1
2010/1/30,6.6,8,1,1.5,0,8,1,67,8,1,8.9,8,1,0.0,0,8,1,43,8,1
2010/1/31,8.7,8,1,1.5,0,8,1,88,8,1,9.2,8,1,0,1,8,1,53,8,1
2010/2/1,8.5,8,1,33.0,0,8,1,90,8,1,5.9,8,1,31.5,0,8,1,69,8,1
2010/2/2,6.2,8,1,0,1,8,1,67,8,1,4.2,8,1,1.5,0,8,1,64,8,1
2010/2/3,5.1,8,1,0,1,8,1,49,8,1,3.7,8,1,0.5,0,8,1,55,8,1
2010/2/4,3.1,8,1,0,1,8,1,58,8,1,2.9,8,1,0,1,8,1,53,8,1
2010/2/5,3.5,8,1,0,1,8,1,62,8,1,4.9,8,1,0,1,8,1,41,8,1
2010/2/6,3.9,8,1,0,1,8,1,57,8,1,3.2,8,1,0,1,8,1,37,8,1
2010/2/7,6.0,8,1,0,1,8,1,49,8,1,4.9,8,1,0,1,8,1,34,8,1
2010/2/8,13.4,8,1,0.0,0,8,1,59,8,1,6.3,8,1,0,1,8,1,42,8,1
2010/2/9,16.3,8,1,51.0,0,8,1,86,8,1,11.8,8,1,0.0,0,8,1,54,8,1
2010/2/10,17.5,8,1,47.0,0,8,1,92,8,1,8.5,8,1,0.0,0,8,1,71,8,1
2010/2/11,13.7,8,1,19.5,0,8,1,91,8,1,4.5,8,1,10.0,0,8,1,76,8,1
2010/2/12,8.5,8,1,0.5,0,8,1,66,8,1,3.5,8,1,2.0,0,8,1,66,8,1
2010/2/13,6.1,8,1,0,1,8,1,71,8,1,2.2,8,1,0.5,0,8,1,71,8,1
2010/2/14,5.2,8,1,3.5,0,8,1,76,8,1,4.6,8,1,0,1,8,1,57,8,1
2010/2/15,8.3,8,1,3.5,0,8,1,79,8,1,5.3,8,1,17.0,0,8,1,70,8,1
2010/2/16,7.0,8,1,0,1,8,1,64,8,1,3.9,8,1,0.5,0,8,1,65,8,1
2010/2/17,6.9,8,1,0,1,8,1,56,8,1,3.1,8,1,0.0,0,8,1,59,8,1
2010/2/18,5.4,8,1,0.0,0,8,1,60,8,1,3.5,8,1,2.0,0,8,1,67,8,1
2010/2/19,5.5,8,1,0.0,0,8,1,51,8,1,5.7,8,1,0,1,8,1,60,8,1
2010/2/20,6.3,8,1,0,1,8,1,57,8,1,7.0,8,1,0,1,8,1,43,8,1
2010/2/21,7.5,8,1,0,1,8,1,60,8,1,6.1,8,1,0,1,8,1,42,8,1
2010/2/22,11.7,8,1,0,1,8,1,61,8,1,6.5,8,1,0,1,8,1,58,8,1
2010/2/23,14.4,8,1,0,1,8,1,65,8,1,9.7,8,1,0,1,8,1,58,8,1
